date;settlement_price;market_id;market_strip;last_trading_date;instrument_slug;instrument_name;source;series_type;roll_rule
2024-06-07;703.0;6227601;Apr26;2026-04-10;low_sulphur_gasoil;Low Sulphur Gasoil Futures;ice_front_month;continuous;gasoil
2024-06-10;713.0;6227601;Apr26;2026-04-10;low_sulphur_gasoil;Low Sulphur Gasoil Futures;ice_front_month;continuous;gasoil
2024-06-11;716.5;6227601;Apr26;2026-04-10;low_sulphur_gasoil;Low Sulphur Gasoil Futures;ice_front_month;continuous;gasoil
2024-06-12;715.0;6227601;Apr26;2026-04-10;low_sulphur_gasoil;Low Sulphur Gasoil Futures;ice_front_month;continuous;gasoil
2024-06-13;723.0;6227601;Apr26;2026-04-10;low_sulphur_gasoil;Low Sulphur Gasoil Futures;ice_front_month;continuous;gasoil
2024-06-14;719.5;6227601;Apr26;2026-04-10;low_sulphur_gasoil;Low Sulphur Gasoil Futures;ice_front_month;continuous;gasoil
2024-06-17;721.5;6227601;Apr26;2026-04-10;low_sulphur_gasoil;Low Sulphur Gasoil Futures;ice_front_month;continuous;gasoil
2024-06-18;725.75;6227601;Apr26;2026-04-10;low_sulphur_gasoil;Low Sulphur Gasoil Futures;ice_front_month;continuous;gasoil
2024-06-19;731.75;6227601;Apr26;2026-04-10;low_sulphur_gasoil;Low Sulphur Gasoil Futures;ice_front_month;continuous;gasoil
2024-06-20;730.5;6227601;Apr26;2026-04-10;low_sulphur_gasoil;Low Sulphur Gasoil Futures;ice_front_month;continuous;gasoil
2024-06-21;730.25;6227601;Apr26;2026-04-10;low_sulphur_gasoil;Low Sulphur Gasoil Futures;ice_front_month;continuous;gasoil
2024-06-24;733.0;6227601;Apr26;2026-04-10;low_sulphur_gasoil;Low Sulphur Gasoil Futures;ice_front_month;continuous;gasoil
2024-06-25;734.75;6227601;Apr26;2026-04-10;low_sulphur_gasoil;Low Sulphur Gasoil Futures;ice_front_month;continuous;gasoil
2024-06-26;731.25;6227601;Apr26;2026-04-10;low_sulphur_gasoil;Low Sulphur Gasoil Futures;ice_front_month;continuous;gasoil
2024-06-27;736.5;6227601;Apr26;2026-04-10;low_sulphur_gasoil;Low Sulphur Gasoil Futures;ice_front_month;continuous;gasoil
2024-06-28;733.75;6227601;Apr26;2026-04-10;low_sulphur_gasoil;Low Sulphur Gasoil Futures;ice_front_month;continuous;gasoil
2024-07-01;741.25;6227601;Apr26;2026-04-10;low_sulphur_gasoil;Low Sulphur Gasoil Futures;ice_front_month;continuous;gasoil
2024-07-02;748.25;6227601;Apr26;2026-04-10;low_sulphur_gasoil;Low Sulphur Gasoil Futures;ice_front_month;continuous;gasoil
2024-07-03;743.0;6227601;Apr26;2026-04-10;low_sulphur_gasoil;Low Sulphur Gasoil Futures;ice_front_month;continuous;gasoil
2024-07-04;750.25;6227601;Apr26;2026-04-10;low_sulphur_gasoil;Low Sulphur Gasoil Futures;ice_front_month;continuous;gasoil
2024-07-05;750.25;6227601;Apr26;2026-04-10;low_sulphur_gasoil;Low Sulphur Gasoil Futures;ice_front_month;continuous;gasoil
2024-07-08;740.75;6227601;Apr26;2026-04-10;low_sulphur_gasoil;Low Sulphur Gasoil Futures;ice_front_month;continuous;gasoil
2024-07-09;731.25;6227601;Apr26;2026-04-10;low_sulphur_gasoil;Low Sulphur Gasoil Futures;ice_front_month;continuous;gasoil
