date;settlement_price;volume_thsd;instrument_slug;instrument_name;source;series_type;roll_rule;market_id;market_strip;last_trading_date;splice_last_seed_date
2000-03-08;237.75;16.78;low_sulphur_gasoil;Low Sulphur Gasoil Futures;investing_seed;continuous;gasoil;;;;2026-04-06
2000-03-09;223.25;18.85;low_sulphur_gasoil;Low Sulphur Gasoil Futures;investing_seed;continuous;gasoil;;;;2026-04-06
2000-03-10;224.25;14.65;low_sulphur_gasoil;Low Sulphur Gasoil Futures;investing_seed;continuous;gasoil;;;;2026-04-06
2000-03-13;217.25;3.57;low_sulphur_gasoil;Low Sulphur Gasoil Futures;investing_seed;continuous;gasoil;;;;2026-04-06
2000-03-14;213.0;5.23;low_sulphur_gasoil;Low Sulphur Gasoil Futures;investing_seed;continuous;gasoil;;;;2026-04-06
2000-03-15;206.25;6.12;low_sulphur_gasoil;Low Sulphur Gasoil Futures;investing_seed;continuous;gasoil;;;;2026-04-06
2000-03-16;207.5;7.69;low_sulphur_gasoil;Low Sulphur Gasoil Futures;investing_seed;continuous;gasoil;;;;2026-04-06
2000-03-17;209.25;4.94;low_sulphur_gasoil;Low Sulphur Gasoil Futures;investing_seed;continuous;gasoil;;;;2026-04-06
2000-03-20;201.5;7.34;low_sulphur_gasoil;Low Sulphur Gasoil Futures;investing_seed;continuous;gasoil;;;;2026-04-06
2000-03-21;202.0;7.94;low_sulphur_gasoil;Low Sulphur Gasoil Futures;investing_seed;continuous;gasoil;;;;2026-04-06
2000-03-22;203.5;6.74;low_sulphur_gasoil;Low Sulphur Gasoil Futures;investing_seed;continuous;gasoil;;;;2026-04-06
2000-03-23;201.25;6.01;low_sulphur_gasoil;Low Sulphur Gasoil Futures;investing_seed;continuous;gasoil;;;;2026-04-06
2000-03-24;205.75;4.44;low_sulphur_gasoil;Low Sulphur Gasoil Futures;investing_seed;continuous;gasoil;;;;2026-04-06
2000-03-27;202.25;3.79;low_sulphur_gasoil;Low Sulphur Gasoil Futures;investing_seed;continuous;gasoil;;;;2026-04-06
2000-03-28;202.0;5.24;low_sulphur_gasoil;Low Sulphur Gasoil Futures;investing_seed;continuous;gasoil;;;;2026-04-06
2000-03-29;195.75;10.38;low_sulphur_gasoil;Low Sulphur Gasoil Futures;investing_seed;continuous;gasoil;;;;2026-04-06
2000-03-30;196.5;7.02;low_sulphur_gasoil;Low Sulphur Gasoil Futures;investing_seed;continuous;gasoil;;;;2026-04-06
2000-03-31;198.75;7.19;low_sulphur_gasoil;Low Sulphur Gasoil Futures;investing_seed;continuous;gasoil;;;;2026-04-06
2000-04-03;201.75;6.32;low_sulphur_gasoil;Low Sulphur Gasoil Futures;investing_seed;continuous;gasoil;;;;2026-04-06
2000-04-04;195.0;6.44;low_sulphur_gasoil;Low Sulphur Gasoil Futures;investing_seed;continuous;gasoil;;;;2026-04-06
2000-04-05;197.0;11.48;low_sulphur_gasoil;Low Sulphur Gasoil Futures;investing_seed;continuous;gasoil;;;;2026-04-06
2000-04-06;197.5;9.79;low_sulphur_gasoil;Low Sulphur Gasoil Futures;investing_seed;continuous;gasoil;;;;2026-04-06
2000-04-07;196.5;7.46;low_sulphur_gasoil;Low Sulphur Gasoil Futures;investing_seed;continuous;gasoil;;;;2026-04-06
2000-04-10;191.25;12.88;low_sulphur_gasoil;Low Sulphur Gasoil Futures;investing_seed;continuous;gasoil;;;;2026-04-06
2000-04-11;191.5;19.7;low_sulphur_gasoil;Low Sulphur Gasoil Futures;investing_seed;continuous;gasoil;;;;2026-04-06
2000-04-12;193.5;19.39;low_sulphur_gasoil;Low Sulphur Gasoil Futures;investing_seed;continuous;gasoil;;;;2026-04-06
2000-04-13;193.75;8.74;low_sulphur_gasoil;Low Sulphur Gasoil Futures;investing_seed;continuous;gasoil;;;;2026-04-06
2000-04-14;192.5;5.02;low_sulphur_gasoil;Low Sulphur Gasoil Futures;investing_seed;continuous;gasoil;;;;2026-04-06
2000-04-17;192.75;7.21;low_sulphur_gasoil;Low Sulphur Gasoil Futures;investing_seed;continuous;gasoil;;;;2026-04-06
2000-04-18;195.25;7.64;low_sulphur_gasoil;Low Sulphur Gasoil Futures;investing_seed;continuous;gasoil;;;;2026-04-06
2000-04-19;201.25;10.0;low_sulphur_gasoil;Low Sulphur Gasoil Futures;investing_seed;continuous;gasoil;;;;2026-04-06
